iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"31-ago-2017"
Total Net Assets,"16,796,410,440.85"
,"182,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LMT","LOCKHEED MARTIN CORP","Equity","4.25","305.39","2,333,442.00","712,609,852.38","712,609,852.38","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","3.08","125.80","4,103,078.00","516,167,212.40","516,167,212.40","Financieros","2965839","US12572Q1058","NASDAQ"
"MCD","MCDONALDS CORP","Equity","2.40","159.97","2,519,098.00","402,980,107.06","402,980,107.06","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","2.34","150.51","2,605,539.00","392,159,674.89","392,159,674.89","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","2.27","116.93","3,253,749.00","380,460,870.57","380,460,870.57","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.17","107.62","3,382,818.00","364,058,873.16","364,058,873.16","Energía","2838555","US1667641005","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","1.99","117.49","2,835,671.00","333,162,985.79","333,162,985.79","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","1.92","79.17","4,075,636.00","322,668,102.12","322,668,102.12","Servicios","2317087","US29364G1031","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","1.89","112.32","2,828,947.00","317,747,327.04","317,747,327.04","Servicios","2280220","US2333311072","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.85","123.29","2,516,386.00","310,245,229.94","310,245,229.94","Productos básicos de consumo","2491839","US4943681035","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","1.83","117.93","2,603,734.00","307,058,350.62","307,058,350.62","Servicios","2138158","US8168511090","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","1.62","78.77","3,449,794.00","271,740,273.38","271,740,273.38","Servicios","2542049","US25746U1097","New York Stock Exchange Inc."
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","1.56","112.41","2,326,299.00","261,499,270.59","261,499,270.59","Materiales","2504566","US6951561090","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","1.50","59.70","4,205,027.00","251,040,111.90","251,040,111.90","Energía","2655408","US6745991058","New York Stock Exchange Inc."
