iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"28-abr-2017"
Total Net Assets,"17,159,240,271.48"
,"187,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LMT","LOCKHEED MARTIN CORP","Equity","3.76","269.45","2,398,820.00","646,362,049.00","646,362,049.00","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","2.85","116.19","4,217,591.00","490,041,898.29","490,041,898.29","Financieros","2965839","US12572Q1058","NASDAQ"
"CVX","CHEVRON CORP","Equity","2.16","106.70","3,477,553.00","371,054,905.10","371,054,905.10","Energía","2838555","US1667641005","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","2.16","110.84","3,345,398.00","370,803,914.32","370,803,914.32","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","2.11","139.93","2,590,169.00","362,442,348.17","362,442,348.17","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","2.08","133.56","2,678,590.00","357,752,480.40","357,752,480.40","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.95","129.75","2,586,794.00","335,636,521.50","335,636,521.50","Productos básicos de consumo","2491839","US4943681035","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","1.86","76.26","4,189,858.00","319,518,571.08","319,518,571.08","Servicios","2317087","US29364G1031","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","1.77","104.59","2,908,235.00","304,172,298.65","304,172,298.65","Servicios","2280220","US2333311072","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","1.76","113.02","2,676,701.00","302,520,747.02","302,520,747.02","Servicios","2138158","US8168511090","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","1.73","102.26","2,915,287.00","298,117,248.62","298,117,248.62","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"TUP","TUPPERWARE BRANDS CORP","Equity","1.65","71.81","3,961,396.00","284,467,846.76","284,467,846.76","Consumo discrecional","2872069","US8998961044","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","1.60","77.43","3,547,190.00","274,658,921.70","274,658,921.70","Servicios","2542049","US25746U1097","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","1.55","61.54","4,321,755.00","265,960,802.70","265,960,802.70","Energía","2655408","US6745991058","New York Stock Exchange Inc."
"PNW","PINNACLE WEST CORP","Equity","1.41","85.09","2,856,622.00","243,069,965.98","243,069,965.98","Servicios","2048804","US7234841010","New York Stock Exchange Inc."
"LAZ","LAZARD LTD CLASS A","Equity","1.40","42.94","5,592,580.00","240,145,385.20","240,145,385.20","Financieros","B081VQ7","BMG540501027","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","1.39","64.61","3,694,359.00","238,692,534.99","238,692,534.99","Energía","2041364","US91913Y1001","New York Stock Exchange Inc."
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","1.37","98.78","2,392,181.00","236,299,639.18","236,299,639.18","Materiales","2504566","US6951561090","New York Stock Exchange Inc."
