iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"29-dic-2017"
Total Net Assets,"17,886,024,438.17"
,"181,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LMT","LOCKHEED MARTIN CORP","Equity","4.17","321.05","2,324,743.00","746,358,740.15","746,358,740.15","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","3.35","146.05","4,099,970.00","598,800,618.50","598,800,618.50","Financieros","2965839","US12572Q1058","NASDAQ"
"CAT","CATERPILLAR INC","Equity","2.49","157.58","2,826,082.00","445,334,001.56","445,334,001.56","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","2.41","172.12","2,505,561.00","431,257,159.32","431,257,159.32","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.36","125.19","3,366,961.00","421,509,847.59","421,509,847.59","Energía","2838555","US1667641005","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","2.26","156.19","2,591,626.00","404,786,064.94","404,786,064.94","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","1.91","105.65","3,239,397.00","342,242,293.05","342,242,293.05","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","1.85","81.39","4,061,334.00","330,551,974.26","330,551,974.26","Servicios","2317087","US29364G1031","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","1.84","91.91","3,584,700.00","329,469,777.00","329,469,777.00","Energía","2041364","US91913Y1001","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","1.73","73.66","4,189,066.00","308,566,601.56","308,566,601.56","Energía","2655408","US6745991058","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","1.72","109.46","2,813,754.00","307,993,512.84","307,993,512.84","Servicios","2280220","US2333311072","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.69","120.66","2,505,884.00","302,359,963.44","302,359,963.44","Productos básicos de consumo","2491839","US4943681035","New York Stock Exchange Inc."
"LAZ","LAZARD LTD CLASS A","Equity","1.60","52.50","5,452,089.00","286,234,672.50","286,234,672.50","Financieros","B081VQ7","BMG540501027","New York Stock Exchange Inc."
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","1.56","120.55","2,320,140.00","279,692,877.00","279,692,877.00","Materiales","2504566","US6951561090","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","1.55","81.06","3,431,300.00","278,141,178.00","278,141,178.00","Servicios","2542049","US25746U1097","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","1.55","106.92","2,594,382.00","277,391,323.44","277,391,323.44","Servicios","2138158","US8168511090","New York Stock Exchange Inc."
