iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"31-ene-2018"
Total Net Assets,"17,917,821,200.49"
,"178,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LMT","LOCKHEED MARTIN CORP","Equity","4.57","354.85","2,305,845.00","818,229,098.25","818,229,098.25","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","3.47","153.48","4,053,939.00","622,198,557.72","622,198,557.72","Financieros","2965839","US12572Q1058","NASDAQ"
"CAT","CATERPILLAR INC","Equity","2.55","162.78","2,801,629.00","456,049,168.62","456,049,168.62","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","2.38","171.14","2,489,418.00","426,038,996.52","426,038,996.52","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.34","125.35","3,342,883.00","419,030,384.05","419,030,384.05","Energía","2838555","US1667641005","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","2.28","158.42","2,575,316.00","407,981,560.72","407,981,560.72","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","1.93","107.23","3,215,715.00","344,821,119.45","344,821,119.45","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","1.90","95.97","3,551,397.00","340,827,570.09","340,827,570.09","Energía","2041364","US91913Y1001","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","1.77","78.69","4,028,243.00","316,982,441.67","316,982,441.67","Servicios","2317087","US29364G1031","New York Stock Exchange Inc."
"LAZ","LAZARD LTD CLASS A","Equity","1.76","58.57","5,375,327.00","314,832,902.39","314,832,902.39","Financieros","B081VQ7","BMG540501027","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","1.74","74.97","4,154,852.00","311,489,254.44","311,489,254.44","Energía","2655408","US6745991058","New York Stock Exchange Inc."
"KSS","KOHLS CORP","Equity","1.67","64.77","4,607,254.00","298,411,841.58","298,411,841.58","Consumo discrecional","2496113","US5002551043","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","1.65","105.64","2,796,668.00","295,440,007.52","295,440,007.52","Servicios","2280220","US2333311072","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.62","117.00","2,487,146.00","290,996,082.00","290,996,082.00","Productos básicos de consumo","2491839","US4943681035","New York Stock Exchange Inc."
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","1.61","125.63","2,299,196.00","288,847,993.48","288,847,993.48","Materiales","2504566","US6951561090","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","1.55","75.22","3,700,114.00","278,322,575.08","278,322,575.08","Consumo discrecional","2259101","US87612E1064","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","1.54","107.02","2,574,194.00","275,490,241.88","275,490,241.88","Servicios","2138158","US8168511090","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","1.46","76.44","3,409,949.00","260,656,501.56","260,656,501.56","Servicios","2542049","US25746U1097","New York Stock Exchange Inc."
"HP","HELMERICH & PAYNE INC","Equity","1.44","72.03","3,573,651.00","257,410,081.53","257,410,081.53","Energía","2420101","US4234521015","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","1.43","104.07","2,458,821.00","255,889,501.47","255,889,501.47","Consumo discrecional","2367480","US3724601055","New York Stock Exchange Inc."
"STX","SEAGATE TECHNOLOGY PLC","Equity","1.37","55.20","4,444,713.00","245,348,157.60","245,348,157.60","Tecnología de la Información","B58JVZ5","IE00B58JVZ52","NASDAQ"
"DRI","DARDEN RESTAURANTS INC","Equity","1.35","95.85","2,528,226.00","242,330,462.10","242,330,462.10","Consumo discrecional","2289874","US2371941053","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","1.33","83.97","2,834,489.00","238,012,041.33","238,012,041.33","Industriales","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"OKE","ONEOK INC","Equity","1.25","58.86","3,810,519.00","224,287,148.34","224,287,148.34","Energía","2130109","US6826801036","New York Stock Exchange Inc."
"TUP","TUPPERWARE BRANDS CORP","Equity","1.23","57.76","3,808,939.00","220,004,316.64","220,004,316.64","Consumo discrecional","2872069","US8998961044","New York Stock Exchange Inc."
"PNW","PINNACLE WEST CORP","Equity","1.23","79.95","2,747,006.00","219,623,129.70","219,623,129.70","Servicios","2048804","US7234841010","New York Stock Exchange Inc."
