iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"28-feb-2018"
Total Net Assets,"16,955,619,165.65"
,"175,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LMT","LOCKHEED MARTIN CORP","Equity","4.75","352.44","2,283,291.00","804,723,080.04","804,723,080.04","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","3.93","166.16","4,014,476.00","667,045,332.16","667,045,332.16","Financieros","2965839","US12572Q1058","NASDAQ"
"CAT","CATERPILLAR INC","Equity","2.53","154.63","2,774,309.00","428,991,400.67","428,991,400.67","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","2.29","157.74","2,465,520.00","388,911,124.80","388,911,124.80","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","2.29","152.15","2,550,140.00","388,003,801.00","388,003,801.00","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.19","111.92","3,309,903.00","370,444,343.76","370,444,343.76","Energía","2838555","US1667641005","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","1.95","103.55","3,184,771.00","329,783,037.05","329,783,037.05","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","1.88","90.42","3,517,267.00","318,031,282.14","318,031,282.14","Energía","2041364","US91913Y1001","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","1.78","75.82","3,987,929.00","302,364,776.78","302,364,776.78","Servicios","2317087","US29364G1031","New York Stock Exchange Inc."
"KSS","KOHLS CORP","Equity","1.78","66.09","4,561,144.00","301,446,006.96","301,446,006.96","Consumo discrecional","2496113","US5002551043","New York Stock Exchange Inc."
