iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"31-jul-2017"
Total Net Assets,"17,036,990,401.09"
,"183,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LMT","LOCKHEED MARTIN CORP","Equity","4.02","292.13","2,343,827.00","684,702,181.51","684,702,181.51","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","2.97","122.62","4,121,339.00","505,358,588.18","505,358,588.18","Financieros","2965839","US12572Q1058","NASDAQ"
"MCD","MCDONALDS CORP","Equity","2.30","155.14","2,530,302.00","392,551,052.28","392,551,052.28","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","2.24","146.09","2,617,534.00","382,395,542.06","382,395,542.06","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","2.24","116.71","3,268,676.00","381,487,175.96","381,487,175.96","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.18","109.19","3,397,355.00","370,957,192.45","370,957,192.45","Energía","2838555","US1667641005","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","1.90","113.95","2,848,341.00","324,568,456.95","324,568,456.95","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","1.84","76.72","4,093,824.00","314,078,177.28","314,078,177.28","Servicios","2317087","US29364G1031","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.83","123.16","2,527,100.00","311,237,636.00","311,237,636.00","Productos básicos de consumo","2491839","US4943681035","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","1.79","107.06","2,841,548.00","304,216,128.88","304,216,128.88","Servicios","2280220","US2333311072","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","1.73","113.01","2,615,342.00","295,559,799.42","295,559,799.42","Servicios","2138158","US8168511090","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","1.57","77.18","3,465,887.00","267,497,158.66","267,497,158.66","Servicios","2542049","US25746U1097","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","1.54","61.93","4,223,713.00","261,574,546.09","261,574,546.09","Energía","2655408","US6745991058","New York Stock Exchange Inc."
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","1.50","109.48","2,337,133.00","255,869,320.84","255,869,320.84","Materiales","2504566","US6951561090","New York Stock Exchange Inc."
"LAZ","LAZARD LTD CLASS A","Equity","1.50","46.71","5,463,163.00","255,184,343.73","255,184,343.73","Financieros","B081VQ7","BMG540501027","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","1.46","68.97","3,610,458.00","249,013,288.26","249,013,288.26","Energía","2041364","US91913Y1001","New York Stock Exchange Inc."
"PNW","PINNACLE WEST CORP","Equity","1.42","86.73","2,790,477.00","242,018,070.21","242,018,070.21","Servicios","2048804","US7234841010","New York Stock Exchange Inc."
"TUP","TUPPERWARE BRANDS CORP","Equity","1.38","60.71","3,870,509.00","234,978,601.39","234,978,601.39","Consumo discrecional","2872069","US8998961044","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","1.32","78.25","2,880,374.00","225,389,265.50","225,389,265.50","Industriales","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"MCY","MERCURY GENERAL CORP","Equity","1.29","59.89","3,682,800.00","220,562,892.00","220,562,892.00","Financieros","2578464","US5894001008","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","1.29","70.54","3,122,836.00","220,284,851.44","220,284,851.44","Servicios","2026242","US0255371017","New York Stock Exchange Inc."
"OKE","ONEOK INC","Equity","1.29","56.57","3,873,247.00","219,109,582.79","219,109,582.79","Energía","2130109","US6826801036","New York Stock Exchange Inc."
"DRI","DARDEN RESTAURANTS INC","Equity","1.26","83.88","2,568,566.00","215,451,316.08","215,451,316.08","Consumo discrecional","2289874","US2371941053","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","1.25","56.67","3,761,704.00","213,175,765.68","213,175,765.68","Consumo discrecional","2259101","US87612E1064","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","1.25","84.93","2,499,479.00","212,280,751.47","212,280,751.47","Consumo discrecional","2367480","US3724601055","New York Stock Exchange Inc."
"IDA","IDACORP INC","Equity","1.20","86.36","2,363,413.00","204,104,346.68","204,104,346.68","Servicios","2296937","US4511071064","New York Stock Exchange Inc."
"SCG","SCANA CORP","Equity","1.17","64.37","3,107,028.00","199,999,392.36","199,999,392.36","Servicios","2545844","US80589M1027","New York Stock Exchange Inc."
"KSS","KOHLS CORP","Equity","1.14","41.35","4,682,074.00","193,603,759.90","193,603,759.90","Consumo discrecional","2496113","US5002551043","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","1.14","62.97","3,071,624.00","193,420,163.28","193,420,163.28","Servicios","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","1.13","23.27","8,294,718.00","193,018,087.86","193,018,087.86","Telecomunicaciones","2185046","US1567001060","New York Stock Exchange Inc."
"LB","L BRANDS INC","Equity","1.11","46.39","4,064,259.00","188,540,975.01","188,540,975.01","Consumo discrecional","B9M2WX3","US5017971046","New York Stock Exchange Inc."
"EIX","EDISON INTERNATIONAL","Equity","1.11","78.68","2,395,524.00","188,479,828.32","188,479,828.32","Servicios","2829515","US2810201077","New York Stock Exchange Inc."
"NWE","NORTHWESTERN CORP","Equity","1.09","57.79","3,211,771.00","185,608,246.09","185,608,246.09","Servicios","B03PGL4","US6680743050","New York Stock Exchange Inc."
"HP","HELMERICH & PAYNE INC","Equity","1.08","50.62","3,631,014.00","183,801,928.68","183,801,928.68","Energía","2420101","US4234521015","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.06","76.16","2,369,838.00","180,486,862.08","180,486,862.08","Financieros","2196888","US1720621010","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","1.06","64.97","2,773,635.00","180,203,065.95","180,203,065.95","Productos básicos de consumo","2692632","US02209S1033","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.04","82.66","2,150,576.00","177,766,612.16","177,766,612.16","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","1.03","67.69","2,594,187.00","175,600,518.03","175,600,518.03","Servicios","2689560","US69331C1080","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","1.02","60.79","2,848,759.00","173,176,059.61","173,176,059.61","Servicios","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"BOH","BANK OF HAWAII CORP.","Equity","1.01","83.67","2,053,473.00","171,814,085.91","171,814,085.91","Financieros","2074070","US0625401098","New York Stock Exchange Inc."
