iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"30-jun-2017"
Total Net Assets,"17,043,987,091.69"
,"184,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LMT","LOCKHEED MARTIN CORP","Equity","3.83","277.61","2,354,004.00","653,495,050.44","653,495,050.44","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","3.04","125.24","4,138,670.00","518,327,030.80","518,327,030.80","Financieros","2965839","US12572Q1058","NASDAQ"
"MCD","MCDONALDS CORP","Equity","2.28","153.16","2,541,141.00","389,201,155.56","389,201,155.56","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","2.26","117.45","3,282,192.00","385,493,450.40","385,493,450.40","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","2.16","140.13","2,628,334.00","368,308,443.42","368,308,443.42","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.09","104.33","3,411,851.00","355,958,414.83","355,958,414.83","Energía","2838555","US1667641005","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.92","129.11","2,537,838.00","327,660,264.18","327,660,264.18","Productos básicos de consumo","2491839","US4943681035","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","1.85","76.77","4,110,465.00","315,560,398.05","315,560,398.05","Servicios","2317087","US29364G1031","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","1.80","107.46","2,859,902.00","307,325,068.92","307,325,068.92","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","1.77","105.79","2,853,599.00","301,882,238.21","301,882,238.21","Servicios","2280220","US2333311072","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","1.74","112.75","2,626,410.00","296,127,727.50","296,127,727.50","Servicios","2138158","US8168511090","New York Stock Exchange Inc."
"TUP","TUPPERWARE BRANDS CORP","Equity","1.60","70.23","3,886,833.00","272,972,281.59","272,972,281.59","Consumo discrecional","2872069","US8998961044","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","1.56","76.63","3,479,764.00","266,654,315.32","266,654,315.32","Servicios","2542049","US25746U1097","New York Stock Exchange Inc."
