iShares Select Dividend ETF
Inception Date,"Nov 03, 2003"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"17,107,602,985.27"
Shares Outstanding,"187,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LMT","LOCKHEED MARTIN CORP","Equity","3.74","267.60","2,388,994.00","639,294,794.40","639,294,794.40","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","2.92","118.80","4,200,199.00","498,983,641.20","498,983,641.20","Financials","2965839","US12572Q1058","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","2.20","112.90","3,330,982.00","376,067,867.80","376,067,867.80","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.17","107.37","3,462,569.00","371,776,033.53","371,776,033.53","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","2.00","128.37","2,667,405.00","342,414,779.85","342,414,779.85","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.98","131.63","2,575,569.00","339,022,147.47","339,022,147.47","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.95","129.61","2,578,921.00","334,253,950.81","334,253,950.81","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","1.85","75.96","4,171,568.00","316,872,305.28","316,872,305.28","Utilities","2317087","US29364G1031","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","1.73","102.11","2,896,018.00","295,712,397.98","295,712,397.98","Utilities","2280220","US2333311072","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","1.72","110.50","2,665,458.00","294,533,109.00","294,533,109.00","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","1.60","77.57","3,531,496.00","273,938,144.72","273,938,144.72","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","1.59","63.36","4,303,549.00","272,672,864.64","272,672,864.64","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","1.57","92.76","2,902,422.00","269,228,664.72","269,228,664.72","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"LAZ","LAZARD LTD CLASS A","Equity","1.50","45.99","5,567,678.00","256,057,511.22","256,057,511.22","Financials","B081VQ7","BMG540501027","New York Stock Exchange Inc."
"TUP","TUPPERWARE BRANDS CORP.","Equity","1.45","62.72","3,944,617.00","247,406,378.24","247,406,378.24","Consumer Discretionary","2872069","US8998961044","New York Stock Exchange Inc."
"HP","HELMERICH & PAYNE INC","Equity","1.44","66.57","3,700,259.00","246,326,241.63","246,326,241.63","Energy","2420101","US4234521015","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","1.43","66.29","3,678,680.00","243,859,697.20","243,859,697.20","Energy","2041364","US91913Y1001","New York Stock Exchange Inc."
"PNW","PINNACLE WEST CORP","Equity","1.39","83.38","2,843,826.00","237,118,211.88","237,118,211.88","Utilities","2048804","US7234841010","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","1.38","92.41","2,546,511.00","235,323,081.51","235,323,081.51","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"MCY","MERCURY GENERAL CORP.","Equity","1.34","60.99","3,762,797.00","229,492,989.03","229,492,989.03","Financials","2578464","US5894001008","New York Stock Exchange Inc."
"DRI","DARDEN RESTAURANTS INC","Equity","1.28","83.67","2,617,649.00","219,018,691.83","219,018,691.83","Consumer Discretionary","2289874","US2371941053","New York Stock Exchange Inc."
