iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"29-mar-2018"
Total Net Assets,"16,736,067,974.79"
,"175,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"CTL","CENTURYLINK INC","Equity","2.04","16.43","20,758,985.00","341,070,123.55","341,070,123.55","Telecomunicaciones","2185046","US1567001060","New York Stock Exchange Inc."
"F","F MOTOR","Equity","2.01","11.08","30,290,196.00","335,615,371.68","335,615,371.68","Consumo discrecional","2615468","US3453708600","New York Stock Exchange Inc."
"PPL","PPL CORP","Equity","2.00","28.29","11,800,353.00","333,831,986.37","333,831,986.37","Servicios","2680905","US69351T1060","New York Stock Exchange Inc."
"OKE","ONEOK INC","Equity","1.87","56.92","5,489,728.00","312,475,317.76","312,475,317.76","Energía","2130109","US6826801036","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.81","35.65","8,499,215.00","302,997,014.75","302,997,014.75","Telecomunicaciones","2831811","US00206R1023","New York Stock Exchange Inc."
"STX","SEAGATE TECHNOLOGY PLC","Equity","1.67","58.52","4,772,549.00","279,289,567.48","279,289,567.48","Tecnología de la Información","B58JVZ5","IE00B58JVZ52","NASDAQ"
"ETR","ENTERGY CORP","Equity","1.64","78.78","3,482,817.00","274,376,323.26","274,376,323.26","Servicios","2317087","US29364G1031","New York Stock Exchange Inc."
"FE","FIRSTENERGY CORP","Equity","1.63","34.01","8,027,987.00","273,031,837.87","273,031,837.87","Servicios","2100920","US3379321074","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","1.59","64.96","4,100,770.00","266,386,019.20","266,386,019.20","Energía","2655408","US6745991058","New York Stock Exchange Inc."
"EIX","EDISON INTERNATIONAL","Equity","1.46","63.66","3,847,272.00","244,917,335.52","244,917,335.52","Servicios","2829515","US2810201077","New York Stock Exchange Inc."
"CNP","CENTERPOINT ENERGY INC","Equity","1.43","27.40","8,747,446.00","239,680,020.40","239,680,020.40","Servicios","2440637","US15189T1079","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","1.42","67.43","3,522,376.00","237,513,813.68","237,513,813.68","Servicios","2542049","US25746U1097","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.39","74.61","3,117,957.00","232,630,771.77","232,630,771.77","Energía","2326618","US30231G1022","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.39","62.32","3,726,945.00","232,263,212.40","232,263,212.40","Productos básicos de consumo","2692632","US02209S1033","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","1.37","50.24","4,562,750.00","229,232,560.00","229,232,560.00","Servicios","2707677","US7445731067","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.36","114.04","2,002,049.00","228,313,667.96","228,313,667.96","Energía","2838555","US1667641005","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","1.36","68.59","3,316,662.00","227,489,846.58","227,489,846.58","Servicios","2026242","US0255371017","New York Stock Exchange Inc."
"LB","L BRANDS INC","Equity","1.36","38.21","5,949,052.00","227,313,276.92","227,313,276.92","Consumo discrecional","B9M2WX3","US5017971046","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","1.34","39.01","5,761,344.00","224,750,029.44","224,750,029.44","Servicios","2670519","US30161N1019","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","1.32","62.70","3,519,952.00","220,700,990.40","220,700,990.40","Servicios","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","1.31","99.40","2,201,689.00","218,847,886.60","218,847,886.60","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","1.27","45.48","4,680,848.00","212,884,967.04","212,884,967.04","Servicios","2614807","US98389B1008","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.27","153.43","1,384,727.00","212,458,663.61","212,458,663.61","Tecnología de la Información","2005973","US4592001014","New York Stock Exchange Inc."
"KSS","KOHLS CORP","Equity","1.26","65.51","3,225,070.00","211,274,335.70","211,274,335.70","Consumo discrecional","2496113","US5002551043","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","1.26","58.92","3,584,633.00","211,206,576.36","211,206,576.36","Servicios","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.26","35.49","5,935,468.00","210,649,759.32","210,649,759.32","Cuidado de la Salud","2684703","US7170811035","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","1.25","104.40","1,995,941.00","208,376,240.40","208,376,240.40","Servicios","2280220","US2333311072","New York Stock Exchange Inc."
"LNT","ALLIANT ENERGY CORP","Equity","1.24","40.86","5,073,156.00","207,289,154.16","207,289,154.16","Servicios","2973821","US0188021085","New York Stock Exchange Inc."
"CMS","CMS ENERGY CORP","Equity","1.22","45.29","4,514,100.00","204,443,589.00","204,443,589.00","Servicios","2219224","US1258961002","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.22","43.43","4,689,937.00","203,683,963.91","203,683,963.91","Productos básicos de consumo","2206657","US1912161007","New York Stock Exchange Inc."
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","1.22","105.68","1,924,039.00","203,332,441.52","203,332,441.52","Materiales","B3SPXZ3","NL0009434992","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","1.21","92.77","2,189,314.00","203,102,659.78","203,102,659.78","Energía","2041364","US91913Y1001","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.21","110.13","1,837,228.00","202,333,919.64","202,333,919.64","Productos básicos de consumo","2491839","US4943681035","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.20","54.47","3,701,551.00","201,623,482.97","201,623,482.97","Cuidado de la Salud","2778844","US58933Y1055","New York Stock Exchange Inc."
"PNW","PINNACLE WEST CORP","Equity","1.17","79.80","2,463,085.00","196,554,183.00","196,554,183.00","Servicios","2048804","US7234841010","New York Stock Exchange Inc."
"IVZ","INVESCO LTD","Equity","1.16","32.01","6,087,995.00","194,876,719.95","194,876,719.95","Financieros","B28XP76","BMG491BT1088","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.16","45.06","4,323,680.00","194,825,020.80","194,825,020.80","Productos básicos de consumo","2367026","US3703341046","New York Stock Exchange Inc."
"M","MACYS INC","Equity","1.15","29.74","6,464,451.00","192,252,772.74","192,252,772.74","Consumo discrecional","2345022","US55616P1049","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","1.15","111.22","1,722,923.00","191,623,496.06","191,623,496.06","Servicios","2138158","US8168511090","New York Stock Exchange Inc."
"NWL","NEWELL BRANDS INC","Equity","1.14","25.48","7,496,426.00","191,008,934.48","191,008,934.48","Consumo discrecional","2635701","US6512291062","New York Stock Exchange Inc."
"IPG","INTERPUBLIC GROUP OF COMPANIES INC","Equity","1.14","23.03","8,280,700.00","190,704,521.00","190,704,521.00","Consumo discrecional","2466321","US4606901001","New York Stock Exchange Inc."
"WU","WESTERN UNION","Equity","1.13","19.23","9,848,017.00","189,377,366.91","189,377,366.91","Tecnología de la Información","B1F76F9","US9598021098","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","1.10","79.91","2,298,710.00","183,689,916.10","183,689,916.10","Industriales","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","1.09","69.43","2,621,449.00","182,007,204.07","182,007,204.07","Consumo discrecional","2259101","US87612E1064","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.08","13.48","13,348,926.00","179,943,522.48","179,943,522.48","Industriales","2380498","US3696041033","New York Stock Exchange Inc."
"HFC","HOLLYFRONTIER CORP","Equity","1.07","48.86","3,649,205.00","178,300,156.30","178,300,156.30","Energía","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","1.06","163.33","1,085,619.00","177,314,151.27","177,314,151.27","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
