iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"31-may-2017"
Total Net Assets,"17,064,629,521.88"
,"185,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LMT","LOCKHEED MARTIN CORP","Equity","3.90","281.13","2,366,838.00","665,389,166.94","665,389,166.94","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","2.86","117.29","4,161,616.00","488,115,940.64","488,115,940.64","Financieros","2965839","US12572Q1058","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","2.32","119.80","3,300,671.00","395,420,385.80","395,420,385.80","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","2.26","150.89","2,555,481.00","385,596,528.09","385,596,528.09","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","2.19","141.44","2,643,197.00","373,853,783.68","373,853,783.68","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.08","103.48","3,431,193.00","355,059,851.64","355,059,851.64","Energía","2838555","US1667641005","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.94","129.73","2,552,338.00","331,114,808.74","331,114,808.74","Productos básicos de consumo","2491839","US4943681035","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","1.92","79.06","4,134,006.00","326,834,514.36","326,834,514.36","Servicios","2317087","US29364G1031","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","1.84","109.52","2,869,985.00","314,320,757.20","314,320,757.20","Servicios","2280220","US2333311072","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","1.80","116.49","2,641,542.00","307,713,227.58","307,713,227.58","Servicios","2138158","US8168511090","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","1.78","105.43","2,876,383.00","303,257,059.69","303,257,059.69","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","1.66","80.77","3,499,946.00","282,690,638.42","282,690,638.42","Servicios","2542049","US25746U1097","New York Stock Exchange Inc."
"TUP","TUPPERWARE BRANDS CORP","Equity","1.65","71.91","3,909,420.00","281,126,392.20","281,126,392.20","Consumo discrecional","2872069","US8998961044","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","1.47","58.93","4,265,343.00","251,356,662.99","251,356,662.99","Energía","2655408","US6745991058","New York Stock Exchange Inc."
"PNW","PINNACLE WEST CORP","Equity","1.46","88.35","2,818,673.00","249,029,759.55","249,029,759.55","Servicios","2048804","US7234841010","New York Stock Exchange Inc."
"LAZ","LAZARD LTD CLASS A","Equity","1.44","44.50","5,518,458.00","245,571,381.00","245,571,381.00","Financieros","B081VQ7","BMG540501027","New York Stock Exchange Inc."
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","1.41","102.16","2,360,323.00","241,130,597.68","241,130,597.68","Materiales","2504566","US6951561090","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","1.37","92.62","2,524,108.00","233,782,882.96","233,782,882.96","Consumo discrecional","2367480","US3724601055","New York Stock Exchange Inc."
"DRI","DARDEN RESTAURANTS INC","Equity","1.35","88.93","2,594,631.00","230,740,534.83","230,740,534.83","Consumo discrecional","2289874","US2371941053","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","1.33","71.78","3,154,532.00","226,432,306.96","226,432,306.96","Servicios","2026242","US0255371017","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","1.32","77.38","2,909,648.00","225,148,562.24","225,148,562.24","Industriales","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","1.31","61.47","3,646,316.00","224,139,044.52","224,139,044.52","Energía","2041364","US91913Y1001","New York Stock Exchange Inc."
"SCG","SCANA CORP","Equity","1.26","68.20","3,138,618.00","214,053,747.60","214,053,747.60","Servicios","2545844","US80589M1027","New York Stock Exchange Inc."
"LB","L BRANDS INC","Equity","1.24","51.60","4,105,566.00","211,847,205.60","211,847,205.60","Consumo discrecional","B9M2WX3","US5017971046","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.24","75.44","2,801,908.00","211,375,939.52","211,375,939.52","Productos básicos de consumo","2692632","US02209S1033","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","1.23","55.15","3,798,885.00","209,508,507.75","209,508,507.75","Consumo discrecional","2259101","US87612E1064","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","1.23","24.95","8,379,111.00","209,058,819.45","209,058,819.45","Telecomunicaciones","2185046","US1567001060","New York Stock Exchange Inc."
"IDA","IDACORP INC","Equity","1.22","87.30","2,387,498.00","208,428,575.40","208,428,575.40","Servicios","2296937","US4511071064","New York Stock Exchange Inc."
"MCY","MERCURY GENERAL CORP","Equity","1.22","56.00","3,713,700.00","207,967,200.00","207,967,200.00","Financieros","2578464","US5894001008","New York Stock Exchange Inc."
"NWE","NORTHWESTERN CORP","Equity","1.17","61.96","3,221,994.00","199,634,748.24","199,634,748.24","Servicios","B03PGL4","US6680743050","New York Stock Exchange Inc."
"STX","SEAGATE TECHNOLOGY PLC","Equity","1.17","43.57","4,561,921.00","198,762,897.97","198,762,897.97","Tecnología de la Información","B58JVZ5","IE00B58JVZ52","NASDAQ"
"EIX","EDISON INTERNATIONAL","Equity","1.16","81.57","2,419,281.00","197,340,751.17","197,340,751.17","Servicios","2829515","US2810201077","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","1.14","62.76","3,103,037.00","194,746,602.12","194,746,602.12","Servicios","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"OKE","ONEOK INC","Equity","1.14","49.68","3,911,691.00","194,332,808.88","194,332,808.88","Energía","2130109","US6826801036","New York Stock Exchange Inc."
