iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"30-nov-2017"
Total Net Assets,"17,738,259,994.32"
,"179,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LMT","LOCKHEED MARTIN CORP","Equity","4.16","319.12","2,317,711.00","739,627,934.32","739,627,934.32","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","3.43","149.54","4,075,439.00","609,441,148.06","609,441,148.06","Financieros","2965839","US12572Q1058","NASDAQ"
"MCD","MCDONALDS CORP","Equity","2.42","171.97","2,502,580.00","430,368,682.60","430,368,682.60","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","2.30","158.04","2,588,520.00","409,089,700.80","409,089,700.80","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.25","118.99","3,360,201.00","399,830,316.99","399,830,316.99","Energía","2838555","US1667641005","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","2.24","141.15","2,816,615.00","397,565,207.25","397,565,207.25","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","1.97","86.48","4,048,412.00","350,106,669.76","350,106,669.76","Servicios","2317087","US29364G1031","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","1.87","102.75","3,232,737.00","332,163,726.75","332,163,726.75","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","1.83","115.57","2,810,695.00","324,832,021.15","324,832,021.15","Servicios","2280220","US2333311072","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","1.76","120.99","2,586,941.00","312,993,991.59","312,993,991.59","Servicios","2138158","US8168511090","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","1.72","85.62","3,569,751.00","305,642,080.62","305,642,080.62","Energía","2041364","US91913Y1001","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.68","119.76","2,499,346.00","299,321,676.96","299,321,676.96","Productos básicos de consumo","2491839","US4943681035","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","1.66","70.50","4,176,971.00","294,476,455.50","294,476,455.50","Energía","2655408","US6745991058","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","1.62","84.13","3,427,686.00","288,371,223.18","288,371,223.18","Servicios","2542049","US25746U1097","New York Stock Exchange Inc."
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","1.54","118.60","2,310,907.00","274,073,570.20","274,073,570.20","Materiales","2504566","US6951561090","New York Stock Exchange Inc."
"LAZ","LAZARD LTD CLASS A","Equity","1.50","49.25","5,404,314.00","266,162,464.50","266,162,464.50","Financieros","B081VQ7","BMG540501027","New York Stock Exchange Inc."
"PNW","PINNACLE WEST CORP","Equity","1.43","91.81","2,759,806.00","253,377,788.86","253,377,788.86","Servicios","2048804","US7234841010","New York Stock Exchange Inc."
"TUP","TUPPERWARE BRANDS CORP","Equity","1.36","63.12","3,829,266.00","241,703,269.92","241,703,269.92","Consumo discrecional","2872069","US8998961044","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","1.35","77.63","3,089,307.00","239,822,902.41","239,822,902.41","Servicios","2026242","US0255371017","New York Stock Exchange Inc."
"IDA","IDACORP INC","Equity","1.30","98.81","2,338,078.00","231,025,487.18","231,025,487.18","Servicios","2296937","US4511071064","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","1.29","92.97","2,472,076.00","229,828,905.72","229,828,905.72","Consumo discrecional","2367480","US3724601055","New York Stock Exchange Inc."
"LB","L BRANDS INC","Equity","1.27","56.07","4,021,079.00","225,461,899.53","225,461,899.53","Consumo discrecional","B9M2WX3","US5017971046","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","1.25","59.90","3,720,198.00","222,839,860.20","222,839,860.20","Consumo discrecional","2259101","US87612E1064","New York Stock Exchange Inc."
