iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"31-oct-2017"
Total Net Assets,"17,105,713,503.35"
,"180,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LMT","LOCKHEED MARTIN CORP","Equity","4.16","308.16","2,310,321.00","711,948,519.36","711,948,519.36","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","3.26","137.17","4,061,980.00","557,181,796.60","557,181,796.60","Financieros","2965839","US12572Q1058","NASDAQ"
"MCD","MCDONALDS CORP","Equity","2.43","166.91","2,494,143.00","416,297,408.13","416,297,408.13","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","2.34","155.07","2,579,733.00","400,039,196.31","400,039,196.31","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.27","115.89","3,348,279.00","388,032,053.31","388,032,053.31","Energía","2838555","US1667641005","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","2.23","135.80","2,807,050.00","381,197,390.00","381,197,390.00","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","2.03","86.26","4,034,578.00","348,022,698.28","348,022,698.28","Servicios","2317087","US29364G1031","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","1.97","104.64","3,221,044.00","337,050,044.16","337,050,044.16","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","1.81","110.46","2,800,947.00","309,392,605.62","309,392,605.62","Servicios","2280220","US2333311072","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","1.77","117.50","2,577,975.00","302,912,062.50","302,912,062.50","Servicios","2138158","US8168511090","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","1.64","78.89","3,557,976.00","280,688,726.64","280,688,726.64","Energía","2041364","US91913Y1001","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.64","112.51","2,491,039.00","280,266,797.89","280,266,797.89","Productos básicos de consumo","2491839","US4943681035","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","1.62","81.14","3,415,664.00","277,146,976.96","277,146,976.96","Servicios","2542049","US25746U1097","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","1.57","64.57","4,162,387.00","268,765,328.59","268,765,328.59","Energía","2655408","US6745991058","New York Stock Exchange Inc."
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","1.57","116.27","2,303,235.00","267,797,133.45","267,797,133.45","Materiales","2504566","US6951561090","New York Stock Exchange Inc."
"LAZ","LAZARD LTD CLASS A","Equity","1.50","47.54","5,385,171.00","256,011,029.34","256,011,029.34","Financieros","B081VQ7","BMG540501027","New York Stock Exchange Inc."
"PNW","PINNACLE WEST CORP","Equity","1.41","87.71","2,750,618.00","241,256,704.78","241,256,704.78","Servicios","2048804","US7234841010","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","1.34","74.41","3,078,189.00","229,048,043.49","229,048,043.49","Servicios","2026242","US0255371017","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","1.33","80.02","2,839,268.00","227,198,225.36","227,198,225.36","Industriales","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"TUP","TUPPERWARE BRANDS CORP","Equity","1.31","58.75","3,815,333.00","224,150,813.75","224,150,813.75","Consumo discrecional","2872069","US8998961044","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","1.28","59.04","3,706,732.00","218,845,457.28","218,845,457.28","Consumo discrecional","2259101","US87612E1064","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","1.27","88.23","2,463,064.00","217,316,136.72","217,316,136.72","Consumo discrecional","2367480","US3724601055","New York Stock Exchange Inc."
"IDA","IDACORP INC","Equity","1.25","92.03","2,329,625.00","214,395,388.75","214,395,388.75","Servicios","2296937","US4511071064","New York Stock Exchange Inc."
"DRI","DARDEN RESTAURANTS INC","Equity","1.22","82.27","2,531,971.00","208,305,254.17","208,305,254.17","Consumo discrecional","2289874","US2371941053","New York Stock Exchange Inc."
"OKE","ONEOK INC","Equity","1.21","54.27","3,816,774.00","207,136,324.98","207,136,324.98","Energía","2130109","US6826801036","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","1.19","67.39","3,027,700.00","204,036,703.00","204,036,703.00","Servicios","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"MCY","MERCURY GENERAL CORP","Equity","1.19","55.97","3,632,017.00","203,283,991.49","203,283,991.49","Financieros","2578464","US5894001008","New York Stock Exchange Inc."
"HP","HELMERICH & PAYNE INC","Equity","1.14","54.31","3,579,224.00","194,387,655.44","194,387,655.44","Energía","2420101","US4234521015","New York Stock Exchange Inc."
"KSS","KOHLS CORP","Equity","1.13","41.76","4,615,021.00","192,723,276.96","192,723,276.96","Consumo discrecional","2496113","US5002551043","New York Stock Exchange Inc."
"GRMN","GARMIN LTD","Equity","1.10","56.61","3,334,527.00","188,767,573.47","188,767,573.47","Consumo discrecional","B3Z5T14","CH0114405324","NASDAQ"
