iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"29-sep-2017"
Total Net Assets,"17,045,022,770.62"
,"182,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LMT","LOCKHEED MARTIN CORP","Equity","4.23","310.29","2,324,175.00","721,168,260.75","721,168,260.75","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","3.25","135.68","4,086,229.00","554,419,550.72","554,419,550.72","Financieros","2965839","US12572Q1058","NASDAQ"
"CVX","CHEVRON CORP","Equity","2.32","117.50","3,368,617.00","395,812,497.50","395,812,497.50","Energía","2838555","US1667641005","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","2.31","156.68","2,508,943.00","393,101,189.24","393,101,189.24","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","2.23","146.55","2,595,028.00","380,301,353.40","380,301,353.40","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","2.11","111.01","3,240,601.00","359,739,117.01","359,739,117.01","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","2.07","124.71","2,823,664.00","352,139,137.44","352,139,137.44","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","1.82","76.36","4,058,378.00","309,897,744.08","309,897,744.08","Servicios","2317087","US29364G1031","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","1.77","107.36","2,817,439.00","302,480,251.04","302,480,251.04","Servicios","2280220","US2333311072","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","1.74","114.13","2,593,131.00","295,954,041.03","295,954,041.03","Servicios","2138158","US8168511090","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.73","117.68","2,505,682.00","294,868,657.76","294,868,657.76","Productos básicos de consumo","2491839","US4943681035","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","1.62","76.93","3,578,860.00","275,321,699.80","275,321,699.80","Energía","2041364","US91913Y1001","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","1.58","64.21","4,186,777.00","268,832,951.17","268,832,951.17","Energía","2655408","US6745991058","New York Stock Exchange Inc."
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","1.56","114.68","2,316,733.00","265,682,940.44","265,682,940.44","Materiales","2504566","US6951561090","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","1.55","76.93","3,435,671.00","264,306,170.03","264,306,170.03","Servicios","2542049","US25746U1097","New York Stock Exchange Inc."
"LAZ","LAZARD LTD CLASS A","Equity","1.44","45.22","5,416,606.00","244,938,923.32","244,938,923.32","Financieros","B081VQ7","BMG540501027","New York Stock Exchange Inc."
"TUP","TUPPERWARE BRANDS CORP","Equity","1.39","61.82","3,837,582.00","237,239,319.24","237,239,319.24","Consumo discrecional","2872069","US8998961044","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","1.39","95.65","2,477,417.00","236,964,936.05","236,964,936.05","Consumo discrecional","2367480","US3724601055","New York Stock Exchange Inc."
"PNW","PINNACLE WEST CORP","Equity","1.37","84.56","2,766,662.00","233,948,938.72","233,948,938.72","Servicios","2048804","US7234841010","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","1.29","59.01","3,728,282.00","220,005,920.82","220,005,920.82","Consumo discrecional","2259101","US87612E1064","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","1.29","76.79","2,855,772.00","219,294,731.88","219,294,731.88","Industriales","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","1.28","70.24","3,096,106.00","217,470,485.44","217,470,485.44","Servicios","2026242","US0255371017","New York Stock Exchange Inc."
"OKE","ONEOK INC","Equity","1.25","55.41","3,838,933.00","212,715,277.53","212,715,277.53","Energía","2130109","US6826801036","New York Stock Exchange Inc."
"KSS","KOHLS CORP","Equity","1.24","45.65","4,641,715.00","211,894,289.75","211,894,289.75","Consumo discrecional","2496113","US5002551043","New York Stock Exchange Inc."
"MCY","MERCURY GENERAL CORP","Equity","1.22","56.69","3,663,203.00","207,666,978.07","207,666,978.07","Financieros","2578464","US5894001008","New York Stock Exchange Inc."
"IDA","IDACORP INC","Equity","1.21","87.93","2,343,125.00","206,030,981.25","206,030,981.25","Servicios","2296937","US4511071064","New York Stock Exchange Inc."
"DRI","DARDEN RESTAURANTS INC","Equity","1.18","78.78","2,546,619.00","200,622,644.82","200,622,644.82","Consumo discrecional","2289874","US2371941053","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","1.12","62.78","3,045,211.00","191,178,346.58","191,178,346.58","Servicios","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"HP","HELMERICH & PAYNE INC","Equity","1.10","52.11","3,599,855.00","187,588,444.05","187,588,444.05","Energía","2420101","US4234521015","New York Stock Exchange Inc."
"EIX","EDISON INTERNATIONAL","Equity","1.07","77.17","2,374,191.00","183,216,319.47","183,216,319.47","Servicios","2829515","US2810201077","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.07","85.54","2,131,393.00","182,319,357.22","182,319,357.22","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"GRMN","GARMIN LTD","Equity","1.06","53.97","3,353,733.00","181,000,970.01","181,000,970.01","Consumo discrecional","B3Z5T14","CH0114405324","NASDAQ"
"NWE","NORTHWESTERN CORP","Equity","1.06","56.94","3,166,145.00","180,280,296.30","180,280,296.30","Servicios","B03PGL4","US6680743050","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.06","76.57","2,349,392.00","179,892,945.44","179,892,945.44","Financieros","2196888","US1720621010","NASDAQ"
"PCG","PG&E CORP","Equity","1.03","68.09","2,570,947.00","175,055,781.23","175,055,781.23","Servicios","2689560","US69331C1080","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.02","63.42","2,749,854.00","174,395,740.68","174,395,740.68","Productos básicos de consumo","2692632","US02209S1033","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","1.02","56.82","3,067,929.00","174,319,725.78","174,319,725.78","Materiales","2465254","US4601461035","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","1.01","62.84","2,744,674.00","172,475,314.16","172,475,314.16","Industriales","2313405","US2910111044","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","1.00","60.44","2,823,273.00","170,638,620.12","170,638,620.12","Servicios","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"BOH","BANK OF HAWAII CORP.","Equity","1.00","83.36","2,035,807.00","169,704,871.52","169,704,871.52","Financieros","2074070","US0625401098","New York Stock Exchange Inc."
"LB","L BRANDS INC","Equity","0.98","41.61","4,029,268.00","167,657,841.48","167,657,841.48","Consumo discrecional","B9M2WX3","US5017971046","New York Stock Exchange Inc."
"AVA","AVISTA CORP","Equity","0.97","51.77","3,178,760.00","164,564,405.20","164,564,405.20","Servicios","2942605","US05379B1070","New York Stock Exchange Inc."
